BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	—	—	—	Encabezado de tabla	—
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	customer_id	UUID	36	Identificador único del cliente dentro del pedido. Puede repetirse si el cliente hizo múltiples pedidos.	PK · NOT NULL · DEFAULT gen_random_uuid()
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	customer_unique_id	UUID	36	Identificador único global del cliente a lo largo de todos sus pedidos. Permite rastrear clientes recurrentes.	NOT NULL · UNIQUE
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	zip_code_prefix	INTEGER	8	Prefijo del código postal del cliente (primeros 5 dígitos). Clave foránea hacia la tabla geolocation.	NOT NULL · FK → geolocation(zip_code_prefix)
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	customer_city	VARCHAR	60	Ciudad del cliente derivada del código postal. Se mantiene por redundancia controlada.	NULL permitido
PostgreSQL	customers	Almacena los datos de identificación y ubicación geográfica de los clientes que han realizado al menos un pedido en la plataforma Olist.	customer_state	CHAR	2	Código ISO del estado brasileño del cliente (ej: SP, RJ, MG).	NOT NULL · CHECK (2 caracteres)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	—	—	—	Encabezado de tabla	—
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_id	UUID	36	Identificador único del pedido. Clave principal de la tabla de hechos.	PK · NOT NULL
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	customer_id	UUID	36	Referencia al cliente que realizó el pedido.	NOT NULL · FK → customers(customer_id) ON DELETE RESTRICT
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_status	VARCHAR	20	Estado actual del ciclo de vida del pedido.	NOT NULL · CHECK IN ('delivered','shipped','canceled','approved','processing','unavailable','invoiced','created')
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_purchase_timestamp	TIMESTAMPTZ	8 bytes	Fecha y hora exacta en que el cliente realizó la compra. Base del particionamiento RANGE.	NOT NULL · Clave de partición RANGE
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_approved_at	TIMESTAMPTZ	8 bytes	Fecha y hora de aprobación del pago. Nulo si aún no ha sido aprobado.	NULL permitido
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_delivered_carrier_date	TIMESTAMPTZ	8 bytes	Fecha y hora en que el pedido fue entregado al transportista.	NULL permitido · 2.34% nulos en dataset
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_delivered_customer_date	TIMESTAMPTZ	8 bytes	Fecha y hora en que el pedido fue recibido por el cliente.	NULL permitido · 2.68% nulos en dataset
PostgreSQL	orders	Tabla de hechos central del sistema. Registra cada pedido realizado por un cliente, incluyendo su ciclo de vida completo desde la compra hasta la entrega. Particionada por RANGE sobre order_purchase_timestamp.	order_estimated_delivery_date	TIMESTAMPTZ	8 bytes	Fecha estimada de entrega informada al cliente al momento de la compra.	NULL permitido
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	—	—	—	Encabezado de tabla	—
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	order_id	UUID	36	Identificador del pedido al que pertenece el ítem. Parte de la PK compuesta.	PK (parte 1) · NOT NULL · FK → orders(order_id) ON DELETE RESTRICT
